gid,pid,seas,week,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,off,def,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,pts,blk,brcv,fgxp,fkicker,NumKicks,dist,good,ptsv,ptsh,iced,detail,surface,elapsedtime
2235,362673,2008,8,SUN,CIN,HOU,Reliant Stadium,,,,,Closed Roof,Grass,44.5,9,CIN,HOU,13,5,1,6,29,0,7,3,2,4,7,74,3,,,FG,SG-1100,306,43,Y,6,35,0,"(6:29) S.Graham 43 yard field goal is GOOD, Center-B.St.Louis, Holder-K.Larson.",Grass,6.483333333
2235,362721,2008,8,SUN,CIN,HOU,Reliant Stadium,,,,,Closed Roof,Grass,44.5,9,CIN,HOU,10,4,2,0,54,3,14,2,2,4,2,86,3,,,FG,SG-1100,306,32,Y,6,35,0,"(:54) S.Graham 32 yard field goal is GOOD, Center-B.St.Louis, Holder-K.Larson.",Grass,15.9
2236,362810,2008,8,MN,IND,TEN,LP Field,45,46,10,NW,Clear,Grass,40.5,4,TEN,IND,11,4,1,9,47,0,0,3,3,4,5,84,3,,,FG,RB-2200,283,34,Y,21,31,0,"(9:47) (Field Goal formation) R.Bironas 34 yard field goal is GOOD, Center-K.Amato, Holder-C.Hentrich.",Grass,9.783333333
2236,362837,2008,8,MN,IND,TEN,LP Field,45,46,10,NW,Clear,Grass,40.5,4,TEN,IND,9,5,2,14,19,3,7,3,3,4,6,74,3,,,FG,RB-2200,283,44,Y,21,31,0,"(14:19) (Field Goal formation) R.Bironas 44 yard field goal is GOOD, Center-K.Amato, Holder-C.Hentrich.",Grass,29.31666667
2236,362847,2008,8,MN,IND,TEN,LP Field,45,46,10,NW,Clear,Grass,40.5,4,TEN,IND,6,4,2,11,23,6,7,3,3,4,3,75,,,,FG,RB-2200,283,43,N,21,31,0,"(11:23) (Field Goal formation) R.Bironas 43 yard field goal is No Good, Wide Left, Center-K.Amato, Holder-C.Hentrich.",Grass,26.38333333
2236,362915,2008,8,MN,IND,TEN,LP Field,45,46,10,NW,Clear,Grass,40.5,4,TEN,IND,6,5,4,14,50,14,14,3,2,4,6,70,3,,,FG,RB-2200,283,48,Y,21,31,0,"(14:50) (Field Goal formation) R.Bironas 48 yard field goal is GOOD, Center-K.Amato, Holder-C.Hentrich.",Grass,59.83333333
2238,363180,2008,9,SUN,JAC,CIN,Paul Brown Stadium,66,58,1,NNE,Sunny,FieldTurf,39.5,-7.5,JAC,CIN,6,5,2,3,8,0,14,3,2,4,11,66,3,,,FG,JS-1100,271,52,Y,19,21,0,"(3:08) J.Scobee 52 yard field goal is GOOD, Center-J.Zelenka, Holder-A.Podlesh.",Turf,18.13333333
2238,363240,2008,9,SUN,JAC,CIN,Paul Brown Stadium,66,58,1,NNE,Sunny,FieldTurf,39.5,-7.5,JAC,CIN,10,3,4,13,31,3,21,3,3,4,8,92,3,,,FG,JS-1100,271,26,Y,19,21,0,"(13:31) J.Scobee 26 yard field goal is GOOD, Center-J.Zelenka, Holder-A.Podlesh.",Turf,58.51666667
2239,363319,2008,9,SUN,TB,KC,Arrowhead Stadium,69,61,0,CALM,Sunny,Grass,36.5,-9,TB,KC,13,4,2,13,8,0,14,3,3,4,4,93,3,,,FG,MB-4600,310,25,Y,30,27,0,"(13:08) M.Bryant 25 yard field goal is GOOD, Center-A.Economos, Holder-J.Bidwell.",Grass,28.13333333
2239,363349,2008,9,SUN,TB,KC,Arrowhead Stadium,69,61,0,CALM,Sunny,Grass,36.5,-9,KC,TB,5,4,2,2,17,21,3,2,2,4,19,79,3,,,FG,CB-0700,120,39,Y,30,27,0,"(2:17) C.Barth 39 yard field goal is GOOD, Center-T.Gafford, Holder-S.Weatherford.",Grass,17.28333333
